,0,1
0,Abdul K. Malik Baako , The New Crusading Guide
1,Afia Adutwumwaa Morosa , Peace FM
2,Afia Pokuaa , Adom FM
3,Akosua Sarpong , UTV
4,Akwasi Sarpong , BBC
5,Ameyaw Debrah , AmeyawDebrah.com
6,Anas Aremeyaw Anas , Tiger Eye PI
7,Bernard Avle , Citi FM
8,Bismark Brown , Atinka TV
9,Bright Nana Amfom , TV3
10,Dan Kweku Yeboah , Peace FM
11,Daryl Kwawu , Joy FM
12,Edward Kwabi , TV3
13,Elvis Darko , The Finder
14,Evans Mensah , Joy FM
15,Fortune Alimi , Daily Guide
16,Francis Abban , Starr FM
17,Gifty Anti , GDA Concepts
18,Israel Laryea , Joy News
19,Jefferson Sackey , Presidency of Ghana
20,Juliet Bawuah , Freelance
21,Kent Mensah , StarrFMOnline.com
22,Kofi Adomah , Kofi TV
23,Komla Klutse , TV3
24,Kwabena K. Boateng , GhanaWeb
25,Kwabena Yeboah , GTV
26,Kwame Sefa Kayi , Peace FM
27,Kweku Temeng , GHOne TV
28,Kwesi Pratt , The Insight Newspaper
29,Mabel Aku Banesseh , Daily Graphic
30,Manasseh Azure Awuni , Joy FM
31,Michael Oti Adjei , TV3
32,Nana Aba Anamoah , GHOne TV
33,Nana Yaw Ampofo Ankrah , Kwese TV
34,Omanhene Kwabena Asante , Adom TV
35,Patrice Amegashie , TV Africa
36,Patrick Osei Agyemang , Adom TV
37,Paul Adom Otchere , Metro TV
38,Peace Hyde , Forbes Africa
39,Ridwan Karim Dini Osman , GHOne TV
40,Saddick Adams , Atinka FM
41,Selikem Apaloo Acolatse , GTV
42,Seth Kwame Boateng , Joy FM
43,Thomas Naadi Bitlegma , BBC
44,Umaru Sanda Amadu , Citi FM
45,Vivian Kai Lokko , Citi FM
